,aditi,adityas,agni,airavata,andhaka,annapurna,apsaras,aryaman,ashtadikpala,ashvins,ayyappa,balarama,bali,bhaga,bhairava,brahma,brihaspati,buddha_avatar,budha_graha,chandra_soma,daksha,dattatreya,dhanvantari,durga,dyaus,gandharvas,ganesha,ganga,garuda,hanuman,hayagriva,hayagriva_asura,hiranyakashipu,hiranyaksha,indra,jagannath,jatayu,kali,kalki,kama,kamadhenu,kamsa,kartikeya,ketu,krishna,kubera,kurma,lakshmana,lakshmi,mahavidyas,mahishasura,mangala,manu,maruts,matrikas,matsya,mitra,nagas,nandi,narada,narasimha,navagraha,parashurama,parvati,prajapati,prithvi,pushan,radha,rahu,rakshasas,raktabija,rama,rati,ratri,ravana,rudra,rudras,sampati,saptarishi,saraswati,sati,savitr,shani,shesha_ananta,shiva,shukra,shumbha_and_nishumbha,sita,surya,tarakasura,tulsi,tvashtar,uchchaihshravas,ushas,vamana,varaha,varuna,vasuki,vasus,vayu,vishnu,vishvakarman,vithoba,vritra,yakshas,yamaraja,yami,yamuna
nandi,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
narada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,3,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0
narasimha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,1,0,0,0,0,0
navagraha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
parashurama,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
parvati,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,2,0,1,6,4,0,0,0,0,0,0,1,0,0,4,1,2,0,0,2,0,0,1,0,0,0,3,2,0,0,0,1,0,0,0,4,3,0,0,1,,0,0,0,1,0,1,0,0,2,0,3,9,0,0,2,1,2,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
prajapati,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,2,1,0,1,0,3,0,1,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,3,1,0,1,2,0,1,0,0,2,0,0,0,3,0,0,2,0,2,0,2,0,0,1,0,2,1,0,0,0,0,0,0
prithvi,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0
pushan,1,0,1,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
radha,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
rahu,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
rakshasas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
raktabija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rama,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,2,0,1,2,6,0,0,0,0,3,1,5,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,2,0,1,1,1,1,1,0,0,0,0,1
rati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratri,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ravana,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,1,0,0,1,0,0,3,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,6,0,0,,2,0,3,0,0,0,0,1,0,2,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0
rudra,0,0,3,0,1,0,0,1,0,0,1,0,0,4,2,11,2,0,0,6,5,3,0,2,1,0,9,6,0,3,0,0,0,0,2,0,0,3,0,6,0,0,3,0,0,4,1,0,0,0,0,0,3,1,0,0,0,0,1,0,2,0,2,9,3,0,5,0,0,0,1,0,1,0,2,,1,0,0,1,8,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,11,0,1,0,0,0,0,0
rudras,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
sampati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
saptarishi,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
saraswati,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,6,0,0,1,1,1,0,0,2,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,1
sati,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
savitr,1,1,1,0,0,0,0,2,0,1,0,0,0,3,0,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
shani,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
shesha_ananta,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,2,4,0,0,3,0,0,0,0,0,0,2
shiva,0,0,2,0,3,0,0,0,0,0,1,0,0,0,2,3,0,0,1,1,2,0,0,2,0,0,3,2,0,0,0,0,0,0,2,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
shukra,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
shumbha_and_nishumbha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
sita,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,9,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
surya,2,1,3,0,0,0,0,2,1,5,0,0,0,1,0,1,1,0,0,4,0,0,1,0,2,1,1,0,1,4,0,0,0,0,5,0,2,0,0,0,0,0,1,2,1,1,1,0,0,0,1,1,2,0,0,1,3,0,0,0,0,1,0,0,3,1,5,0,4,0,0,2,0,0,1,1,0,2,0,0,0,2,2,0,0,1,1,0,,0,0,0,1,2,1,0,3,0,0,2,2,2,1,1,0,1,1,1
tarakasura,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tulsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
tvashtar,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0
uchchaihshravas,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
ushas,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vamana,2,1,0,0,0,0,0,0,0,0,0,0,11,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0
varaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,2,0,0,0,0,0,0,0
varuna,2,2,4,0,0,0,2,2,0,2,0,1,1,2,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,6,1,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,0,1,0,2,0,2,0,0,1,0,3,0,0,0,0,0,1,1,,0,0,1,0,1,0,0,0,2,1,1
vasuki,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,0
vasus,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,0
vayu,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,,1,0,0,0,1,0,0,0
vishnu,4,1,2,1,2,0,1,1,2,1,1,4,3,1,2,8,1,2,1,2,2,1,3,4,0,1,1,0,3,2,1,1,3,1,3,1,1,1,2,2,0,2,1,2,2,0,2,1,5,5,1,0,0,2,1,1,1,3,2,7,1,1,1,2,2,4,1,0,3,0,0,1,0,1,2,11,1,0,1,2,2,0,1,3,3,1,0,2,2,1,10,2,2,0,1,2,0,1,0,1,,1,1,5,0,1,2,0
vishvakarman,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,2,0,1,,0,0,0,0,1,0
vithoba,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0
vritra,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,,0,0,0,0
yakshas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0
yamaraja,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,,6,0
yami,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,6,,0
yamuna,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
